Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,1015507,44750,92224,3905,274949,647990,27806
April17,1029214,32674,96228,4004,288719,643923,28102
April18,1060036,30822,99278,3050,298355,662059,26386
April19,1089256,29218,101836,2558,309151,677925,25395
April20,1113096,23840,104491,2655,320927,687084,26126
April21,1140051,26955,107906,3415,344226,687325,26042
April22,1168284,28233,111202,3296,360203,696285,25509
April23,1193276,28925,114259,3057,375444,702979,26669
April24,1225314,32038,117324,3065,392605,714791,26300
April25,1252497,27183,120118,2794,406455,725330,25893
April26,1276808,24311,121885,1767,435600,718729,25260
April27,1301271,24463,123997,2112,445870,730810,24907
April28,1322706,24109,126422,2425,459200,736490,24626
April29,1347380,24674,132947,2901,483291,730548,24182
April30,1373444,26064,135235,2288,503134,734481,18773
May01,1399063,25918,137409,2174,518811,742249,18027
May02,1424386,25696,139410,2001,530776,753606,17626
May03,1447503,23116,140603,1193,540097,766209,17271
May04,1469911,22408,142143,1540,554271,772903,16949
May05,1493973,24062,144102,1960,567928,781349,16507
May06,1524904,30931,146631,2529,593469,784210,15843
May07,1553700,28796,148461,1830,610935,793710,15404
May08,1581256,27556,150514,2053,627521,802627,15176
May09,1605838,24582,151765,1251,646616,806863,14354
May10,1628576,22747,152740,975,657904,817338,13992
May11,1653012,24436,153926,1186,669770,828722,13882
May12,1675742,22730,155762,1842,684652,834734,13420
May13,1696321,20745,157373,1611,703626,834728,13046
May14,1718673,22352,159068,1695,721363,600814,12533
May15,1741129,22456,160482,1414,739207,600689,12196
May16,1761352,20364,161672,1190,754931,600854,11756
May17,1780768,19416,162839,1167,769115,601440,11604
May18,1797528,16760,163619,781,781008,602844,11376
May19,1815438,17910,164574,1172,793170,605683,11168
May20,1830667,15754,165798,1224,811893,601688,10927
May21,1848322,17655,166805,1007,826047,601679,10751
May22,1868166,19844,168419,1614,848479,594366,10477
May23,1885900,17734,169275,856,862544,594349,10363
May24,1901749,15849,169844,569,882013,587712,9977
May25,1916177,14800,168515,588,892469,591308,9915
May26,1934081,16085,169601,1086,911964,584615,9711
May27,1950083,16002,170631,1030,930967,578808,9518
May28,1969899,19816,171568,937,947902,579092,9377
May29,1986869,16970,172531,963,962554,578528,9017
May30,2004226,17357,173280,749,977651,578539,8796
May31,2019781,15555,173726,446,986473,582823,8766
June01,2034268,14487,174654,487,791433,497309,8748
June02,2011149,14776,175557,903,807205,455085,8722
June03,2028241,17092,176445,888,822005,452368,8538
June04,2045158,16917,177100,655,836241,451180,9306
June05,2062121,16963,177959,859,849959,450782,7314
June06,2079494,16415,178583,624,867748,446188,7186
June07,2094375,14894,178943,361,876279,450375,7180
June08,2109178,14468,179360,417,883066,456127,7117
June09,2124695,14928,180184,824,899573,451692,7011
June10,2139382,14001,180941,757,914928,448210,6903
June11,2157337,16616,181458,519,928641,447585,6745
June12,2174645,17287,182067,609,941985,447666,6693
June13,2190153,15508,182579,513,952478,450194,6708
