Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,18993,1166,968,55,4585,13440,180
April17,20419,1426,1020,52,4958,14441,187
April18,21741,1322,1082,62,5470,15189,195
April19,22966,1225,1125,43,5840,16001,174
April20,24171,1205,1164,39,6451,16556,177
April21,25411,1240,1197,33,6770,17444,164
April22,26654,1243,1244,47,7315,18095,174
April23,28217,1436,1298,54,8534,18385,173
April24,29840,1623,1328,30,9140,19372,148
April25,31102,1262,1379,51,9530,20193,155
April26,32657,1555,1427,48,10018,21212,140
April27,34036,1357,1468,39,10575,21993,138
April28,35678,1642,1527,59,11868,22283,120
April29,37693,2017,1592,65,12630,23471,122
April30,39785,2093,1638,46,13070,25077,126
May01,41446,1661,1691,53,13918,25837,126
May02,43734,2294,1763,72,14664,27307,127
May03,45380,1589,1802,37,15137,28441,132
May04,48075,2695,1848,46,16231,29996,129
May05,50166,2091,1917,69,16977,31272,128
May06,52713,2547,2015,98,18286,32412,128
May07,55320,2607,2083,68,19099,34138,176
May08,59050,3731,2161,78,19839,37050,223
May09,61985,2935,2232,71,21649,38104,217
May10,64750,2765,2301,69,22643,39806,235
May11,67778,3035,2355,54,23961,41462,224
May12,70982,3204,2407,52,24819,43756,219
May13,73973,2991,2507,100,26250,45216,258
May14,77002,3029,2578,71,28186,46238,290
May15,79780,2778,2639,61,30210,46931,288
May16,83363,3588,2726,87,32103,48534,289
May17,86381,3018,2777,51,33496,50108,288
May18,90080,3699,2849,72,34879,52352,285
May19,93228,3357,2924,75,36802,53502,284
May20,96990,3762,3010,86,39428,54552,287
May21,101684,4798,3115,105,40588,57981,285
May22,105845,4161,3204,89,42881,59760,296
May23,109470,3625,3267,63,44166,62037,306
May24,113656,4186,3356,89,46063,64237,323
May25,117801,4145,3495,139,47813,66493,327
May26,121547,3746,3613,118,49902,68032,334
May27,126638,5091,3710,97,52623,70305,349
May28,131587,4949,3814,104,55126,72647,352
May29,137544,5957,3945,131,58197,75402,356
May30,143769,6225,4092,147,60987,78690,370
May31,148775,5006,4245,153,63463,81067,346
June01,154907,6132,4369,124,65931,84607,347
June02,159838,4931,4520,151,68985,86333,425
June03,164985,5147,4627,107,72380,87978,435
June04,172183,7198,4783,156,75830,91570,449
June05,179337,7154,4942,159,80324,94071,443
June06,185996,6659,5082,140,83432,97482,463
June07,192118,6122,5215,133,84919,101984,469
June08,198990,6872,5390,173,88212,105388,490
June09,205520,6530,5568,178,92914,107038,499
June10,212011,6491,5717,149,97163,109131,499
June11,219354,7343,5869,152,100711,112774,511
June12,227599,8245,6080,211,105092,116427,526
June13,235704,8105,6283,203,108835,120586,524
June14,244578,8874,6490,207,112243,125845,515
June15,254214,9636,6793,303,116730,130691,517
June16,261581,7368,7026,233,120949,133606,500
June17,270660,9079,7249,223,125580,137831,493
June18,278677,8017,7450,201,128347,142880,506
June19,288812,10135,7713,263,135176,145923,499
June20,299841,10386,7941,210,144985,146915,481
June21,309153,9312,8148,207,148863,152142,491
June22,318321,9168,8371,223,153242,156708,502
June23,327464,9143,8653,282,156968,161843,504
June24,338766,11302,8889,236,163507,166370,847
June25,350859,12093,9104,214,168752,173003,885
June26,362616,11757,9317,213,175652,177647,881
June27,374596,11980,9519,202,181179,183898,904
June28,385219,10623,9698,179,185243,190278,907
June29,396314,10910,9914,216,189722,196678,924
June30,407925,11611,10184,270,195397,202344,920
July01,421382,13457,10443,259,200995,209944,919
July02,434442,13060,10662,219,209616,214164,916
July03,450658,16216,10920,258,217705,222033,1797
July04,466168,15510,11117,197,224808,230243,944
July05,479845,13677,11400,284,230016,238429,945
July06,493710,13865,11649,249,238464,243597,956
July07,511170,17460,12015,366,247734,251421,950
July08,525892,14722,12270,255,255857,257765,964
July09,545063,19171,12500,230,265783,266780,952
July10,562728,17665,12809,309,274778,275141,965
July11,581640,18912,13029,220,287924,280687,978
July12,598236,16596,13285,256,298194,286757,969
July13,614412,16176,13504,219,305852,295056,994
July14,628885,14473,13803,299,316780,298302,982
July15,646973,18057,14029,224,335800,297144,990
July16,668068,20489,14442,370,346500,307126,1003
July17,686961,18893,14717,275,363494,308750,1030
July18,706069,19108,14996,279,370715,320358,1066
July19,724870,18801,15210,214,383351,326309,1061
July20,740026,15156,15465,255,392264,332297,1047
July21,753917,13891,15779,314,412654,325484,1046
July22,773506,19454,16482,690,438288,318736,1044
July23,792040,18464,16756,274,449637,325647,1068
July24,814165,22125,17146,390,465357,331662,1091
July25,832514,18349,17570,424,487462,327482,1086
July26,850628,18114,17808,238,494224,338596,1091
July27,864094,13470,18218,410,510089,335787,1094
July28,877593,13499,18540,322,527821,331232,1124
July29,895157,17564,18908,368,544168,332081,1120
July30,912621,17464,19362,459,559906,333353,1160
July31,931777,19156,19726,364,583665,328386,1138
August01,948730,16953,20018,292,606320,322392,1151
August02,961388,12658,20350,332,615344,325694,1150
August03,972287,10899,20671,321,632929,318687,1149
August04,982219,9759,21143,472,655407,305669,1149
August05,997602,15383,21683,540,677208,298711,1188
August06,1011872,14270,22114,431,693620,296138,1187
August07,1025464,13563,22553,439,707877,295034,1196
August08,1039678,14209,22966,413,723688,293024,1206
August09,1052094,12416,23324,358,736638,292132,1200
August10,1061098,8914,23643,319,747414,290041,1161
August11,1069093,7995,23912,269,761619,283562,1207
August12,1078301,9208,24322,410,772365,281614,1211
August13,1088777,10476,24727,405,783617,280433,1188
August14,1101342,12565,25143,416,814407,261792,1190
August15,1113143,11801,25383,240,828034,259726,1196
August16,1123142,9999,25678,295,838452,259012,1210
August17,1132101,8959,25942,264,849723,256436,1210
August18,1140775,8674,26357,415,862564,251854,1214
August19,1151737,10962,26685,328,874088,250964,1206
August20,1162392,10655,27022,337,884480,250890,1190
August21,1172802,10349,27374,352,892304,253124,1202
August22,1183362,10560,27649,275,902901,252812,1207
August23,1192414,9052,27831,182,909724,254859,1218
August24,1199961,7795,28051,223,925220,246690,1212
August25,1207623,7662,28334,283,934192,245097,1258
August26,1216564,8941,28656,322,945475,242433,1271
August27,1225249,8685,28910,254,957854,238485,1282
August28,1233365,8116,29141,231,964846,239378,1289
August29,1241912,8547,29472,331,972908,239532,1264
August30,1250375,8463,29633,161,979996,240746,1278
August31,1257316,6941,29862,226,987398,240056,1270
September01,1264417,7101,30104,242,1002554,231759,1262
September02,1273213,8796,30370,266,1011064,231779,1278
September03,1281149,7889,30666,296,1017753,232730,1445
September04,1289817,8669,30905,239,1025872,233040,1418
September05,1297323,7506,31131,226,1033734,232458,1421
September06,1305252,7890,31357,226,1040454,233441,1421
September07,1312183,6931,31575,218,1049529,231079,1434
September08,1319898,7715,31801,226,1055312,232785,1469
September09,1328263,8365,31962,192,1063653,232648,1468
September10,1336407,8144,32178,216,1072778,231451,1500
September11,1345199,8792,32410,232,1080227,232562,1486
September12,1352693,7494,32556,146,1096779,223358,1486
September13,1359569,6805,32678,121,1104047,222844,1503
September14,1366138,6569,32849,171,1110971,222318,1504
September15,1372731,6593,33126,277,1121263,218342,1428
September16,1380233,7499,33308,182,1131194,215731,1434
September17,1389010,8610,33484,176,1138173,217353,1457
September18,1397246,8236,33677,197,1145275,218294,1451
September19,1405973,8727,33879,202,1153639,218455,1466
September20,1413416,7443,34008,129,1158805,220603,1457
September21,1420232,6668,34133,135,1166475,219624,1465
September22,1427620,7365,34378,244,1173809,219433,1402
September23,1436433,8813,34583,209,1180677,221173,1463
September24,1444619,8186,34758,175,1190410,219451,1455
September25,1452768,8149,34912,154,1199597,218259,1530
September26,1459190,6422,35080,168,1207311,216799,1557
September27,1467555,8365,35215,135,1213045,219295,1515
September28,1473418,5863,35512,297,1218331,219575,1568
September29,1480934,7509,35729,217,1225806,219399,1621
September30,1489711,8763,35922,193,1233125,220664,1609
October01,1496977,7260,36146,224,1239450,221381,1599
October02,1506015,8952,36288,140,1246159,223568,1602
October03,1514844,8829,36399,111,1253356,225089,1576
October04,1522928,8084,36569,170,1260391,225968,1633
October05,1527905,4977,36697,128,1268405,222803,1638
October06,1534494,6589,36885,188,1275086,222523,1607
October07,1545109,10615,37154,269,1286083,221872,1569
October08,1556017,10770,37452,303,1292200,226365,1617
October09,1564774,8757,37689,237,1299430,227655,1640
October10,1578299,13525,37960,271,1305456,234883,1668
October11,1587286,8987,38168,208,1311335,237783,1720
October12,1593247,5961,38362,194,1318297,236588,1685
October13,1601181,7934,38633,271,1323354,239194,1771
October14,1612737,11556,38896,263,1330252,243589,1774
October15,1621853,9116,39150,254,1336611,246092,1829
October16,1632687,9506,39357,207,1343499,249831,1861
October17,1646863,14176,39622,265,1352602,254639,1845
October18,1655084,8221,39807,185,1361855,253422,1850
October19,1665060,9976,39991,184,1367151,257918,1855
October20,1674836,9776,40289,298,1376599,257948,1932
October21,1685448,10612,40544,255,1384275,260629,1961
October22,1696418,10970,40760,216,1390786,264872,1995
October23,1707055,10637,40985,225,1398172,267898,2063
October24,1718812,11757,41208,223,1405116,272488,2060
October25,1727897,9085,41324,116,1412173,274400,2133
October26,1738877,8778,41672,241,1421870,275335,2189
October27,1747522,8645,41972,182,1429087,276463,2191
October28,1759578,12056,42202,230,1436462,280914,2231
October29,1770688,10975,42404,186,1444345,283939,2241
October30,1784435,13742,42698,294,1455052,286685,2295
October31,1795509,11074,42922,204,1462964,289623,2284
November01,1805820,10244,43244,306,1472758,289818,2315
November02,1813800,7980,43461,217,1481404,288935,2341
November03,1824701,10894,43777,316,1489152,291772,2389
November04,1838867,13855,44012,235,1497854,297001,2419
November05,1854169,15302,44316,302,1548650,261203,2428
November06,1866079,11910,44684,297,1560777,260618,2423
November07,1881129,14997,44918,234,1582702,253509,2448
November08,1893619,12490,45433,238,1595468,252718,2434
November09,1903096,9371,45684,251,1603562,253850,2443
November10,1916173,13077,46025,341,1613406,256742,2475
November11,1930482,14163,46357,332,1629090,255035,2482
November12,1946369,15617,46626,269,1641278,258465,2509
November13,1961099,14730,46906,280,1650737,263456,2540
November14,1975264,14068,47162,256,1660706,267396,2609
November15,1987732,12468,47438,275,1668055,272239,2594
November16,1998312,10580,47775,337,1680971,269566,2573
November17,2011202,12890,48112,337,1691074,272016,2575
November18,2026587,15346,48509,397,1709279,268799,2573
November19,2040542,13849,48785,273,1720252,271505,2600
November20,2056410,15867,49198,413,1735165,272047,2607
November21,2069852,13442,49512,314,1743655,276685,2577
November22,2082709,12857,49802,290,1753722,279185,2570
November23,2092968,10259,50074,269,1766116,276778,2558
November24,2105502,12534,50417,342,1781815,273270,2560
November25,2120356,14835,50736,318,1791355,278265,2549
November26,2134290,13934,51033,297,1800758,282499,2584
November27,2150097,15783,51354,321,1815904,282839,2559
November28,2163810,13389,51589,230,1825367,286854,2590
November29,2176698,12885,51813,224,1841027,283858,2601
November30,2187417,10353,52083,263,1853303,282031,2615
December01,2198197,10780,52340,257,1863025,282832,2619
December02,2214586,16389,52670,330,1876437,285479,2594
December03,2230391,15691,52937,267,1902660,274794,2573
December04,2248484,16690,53377,384,1916577,278530,2559
December05,2263152,14668,53655,278,1928679,280818,2551
December06,2276574,13422,53961,306,1936646,285967,2542
December07,2287238,10651,54209,247,1947529,285500,2528
December08,2300244,13046,54611,402,1965422,280211,2528
December09,2320386,19805,54965,348,1977560,287861,2535
December10,2339318,18932,55357,392,1991341,292620,2534
December11,2358673,19355,55756,399,2003870,299047,2549
December12,2376741,18068,56082,326,2014826,305833,2587
December13,2393061,16320,56428,346,2023832,312801,2620
December14,2404414,11353,56740,312,2033838,313836,2624
December15,2422536,17976,57168,428,2047032,318336,2691
December16,2443850,21275,57526,358,2066966,319358,2704
December17,2464185,20279,57910,383,2081503,324772,2761
December18,2483643,19458,58407,497,2092290,332946,2759
December19,2504960,21317,58855,448,2103442,342663,2709
December20,2523681,18721,59195,340,2116964,347522,2734
December21,2540417,16596,59635,424,2126614,354168,2729
December22,2560394,19977,60155,520,2153642,346597,2727
December23,2585922,25307,60974,623,2165927,359021,2602
December24,2612754,26832,61528,554,2187766,363460,2534
December25,2638497,25743,62052,522,2203865,372580,2458
December26,2659469,20972,62471,419,2222857,374141,2487
December27,2678022,18553,62903,432,2237159,377960,2442
